id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1001000043000081,130.8203,214.2266,123.4766,214.2266,123.4766,221.5703,119.8047,210.5547,127.1484,250.9453,167.5391,206.8828,178.5547,254.6172,229.9609,184.8516,244.6484,272.9766,274.0234,181.1797,307.0703,283.9922,277.6953,192.1953,288.7109,228.9141,325.4297,133.4453,351.1328,151.8047,395.1953,60.0078,373.1641,225.2422
1007000007001366,325.1123,153.3232,327.0166,149.5146,325.1123,147.6104,313.6865,141.8975,315.5908,141.8975,294.6436,159.0361,302.2607,162.8447,313.6865,195.2178,319.3994,199.0264,323.208,166.6533,328.9209,168.5576,275.6006,214.2607,267.9834,218.0693,298.4521,242.8252,315.5908,235.208,279.4092,279.0068,288.9307,286.624
1005000010000245,155.9024,162.4414,155.9024,153.3008,151.332,157.8711,169.6133,139.5898,169.6133,139.5898,215.3164,153.3008,219.8867,139.5898,242.7383,221.8555,256.4492,221.8555,219.8867,294.9805,224.457,276.6992,352.4258,194.4336,347.8555,185.293,411.8398,285.8398,407.2695,262.9883,526.0977,253.8477,507.8164,235.5664
1003000022000054,193.3686,124.9465,219.9926,45.6359,311.9973,141.6284,308.691,89.6337,344.1666,104.7893,270.5006,163.9614,230.6576,173.3084,349.1772,265.4101,114.3362,128.8923,654.4873,395.9265,439.7386,178.1702,117.0254,255.9651,445.2769,328.3036,373.442,389.2636,80.6055,293.4337,397.2402,110.644,103.4503,257.361
1007000073000331,337.3281,137.8594,342.6406,129.8906,332.0156,132.5469,353.2656,132.5469,324.0469,135.2031,369.2031,161.7656,305.4531,161.7656,398.4219,183.0156,276.2344,183.0156,417.0156,164.4219,254.9844,164.4219,358.5781,225.5156,321.3906,225.5156,379.8281,260.0469,294.8281,262.7031,379.8281,326.4531,297.4844,323.7969
1005000019000240,206.0208,94.0208,221.8542,78.1875,194.1458,78.1875,237.6875,74.2292,174.3542,78.1875,265.3958,145.4792,146.6458,137.5625,301.0208,228.6042,114.9792,232.5625,332.6875,303.8125,87.2708,307.7708,225.8125,240.4792,166.4375,236.5208,206.0208,295.8958,166.4375,295.8958,186.2292,299.8542,154.5625,303.8125
1009000001000382,182.4805,215.957,173.0273,211.2305,173.0273,211.2305,177.7539,192.3242,177.7539,187.5977,220.293,206.5039,220.293,182.8711,229.7461,277.4023,229.7461,263.2227,168.3008,277.4023,168.3008,267.9492,347.9102,211.2305,343.1836,197.0508,442.4414,225.4102,437.7148,206.5039,546.4258,239.5898,513.3398,211.2305
1003000022002084,581.7882,169.4434,452.4676,321.4437,348.3657,83.8459,548.6346,249.6196,395.4633,188.0775,220.2432,284.5834,253.9907,159.1467,638.4061,368.8347,56.7629,40.4243,486.1613,478.1943,435.9722,431.1419,661.9106,170.6812,327.315,157.8043,332.5331,327.4433,209.9555,113.4842,273.3344,268.6562,217.3394,233.8343
1007000037000272,309.665,66.9521,319.6553,56.9619,303.0049,60.292,329.6455,66.9521,296.3447,70.2822,342.9658,103.583,286.3545,106.9131,372.9365,90.2627,259.7139,100.2529,382.9268,86.9326,236.4033,76.9424,336.3057,210.1455,293.0146,213.4756,362.9463,290.0674,269.7041,286.7373,376.2666,363.3291,263.0439,363.3291
1007000048000116,310.5205,137.9619,313.4404,132.1221,313.4404,132.1221,328.04,137.9619,336.7998,137.9619,333.8799,181.7607,342.6396,167.1611,301.7607,225.5596,307.6006,193.4404,281.3213,190.5205,290.0811,187.6006,392.2783,254.7588,386.4385,243.0791,330.96,286.8779,328.04,260.5986,357.2393,351.1162,357.2393,318.9971
